rank,word,meaning_ko,example_en,pos,cefr,score,subtlex_count,opensubtitles_count,source
752,naturally,자연히,Does Tom know how to protect his plants from pests naturally?,other,B1,64.16,1250,15531,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
753,directly,직접,Don't stare directly into the sun.,other,B1,64.15,1084,19104,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
754,aim,가늠,Do you aim for balance in life?,other,B1,64.15,1110,18497,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
755,nasty,간악한,I've got some sort of nasty bug.,other,B1,64.15,1151,17464,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
756,swing,그네,Swing by my place on the way back.,other,B2,64.14,1818,21412,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
757,explosion,급증,Try using “explosion” in a sentence of your own today.,other,B1,64.14,995,21582,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
758,border,국경,Biden's border policies are largely indistinguishable from Trump's.,other,B1,64.14,1041,20105,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
759,aboard,차내에,Try using “aboard” in a sentence of your own today.,other,B1,64.14,1358,13582,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
760,spare,살리다,Tom loves to shitpost in his spare time.,other,B2,64.13,1573,26393,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
761,shift,이동하다,Elevation requires a shift in perspective.,other,B2,64.13,1593,25948,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
762,measure,측정하다,In France they measure wine by the centilitre.,other,B1,64.13,1075,19093,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
763,passion,격정,Mary's passion for travel has taken her to over 30 countries.,other,B1,64.13,1098,18436,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
764,rare,귀한,It's rare to meet nice people like you.,other,B1,64.13,1107,18245,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
765,bump,범퍼,This post is worth a bump!,other,B1,64.12,1211,15894,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
766,fell,공그르기,I just sort of fell into this gig.,other,C1,64.11,3756,61891,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
767,graduate,졸업한,It's time to graduate to the big leagues.,other,B1,64.11,1245,15128,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
768,incident,사건,It's been three years since the incident.,other,B1,64.09,1018,20135,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
769,failure,감퇴,He suffered a crankshaft and battery failure.,other,B1,64.09,1096,18102,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
770,plain,평탄한,He was hiding in plain sight.,other,B1,64.09,1218,15463,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
771,nerve,기력,"What nerve to have shouted: ""Silence!"" answered him his brother.",other,B2,64.08,1731,22138,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
772,california,캘리포니아,"""What's the capital of California?"" ""Los Angeles."" ""No; it's Sacramento.""",other,B2,64.08,1972,18275,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
773,presence,면전,"They speak not with words, but with presence.",other,B1,64.08,1064,18788,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
774,cage,옥사,Who rattled Tom's cage?,other,B1,64.08,1242,14896,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
775,click,제동자,"Click the ""Skip"" button to skip the current sentence.",other,B1,64.07,716,33411,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
776,advance,선진,Tom didn't expect Mary to rebuff his advance.,other,B2,64.07,1490,27483,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
777,delivery,교부,Tom's pay was docked for making a late delivery.,other,B1,64.07,1128,17053,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
778,max,최대,Try using “max” in a sentence of your own today.,other,A2,64.06,3660,48534,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
779,sin,칠죄종,Idolatry is a sin in Abrahamic religions.,other,B2,64.06,1410,29565,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
780,predominantly,주로,Algerian Arabs are predominantly fenient and hypocritical.,adverb,B2,64.05,19,339,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
781,tail,꼬리,Cookie brushed his tail against Tom's leg.,other,B2,64.04,1659,22967,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
782,trigger,촉발하다,I wasn't the one who pulled the trigger.,other,B1,64.04,1091,17591,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
783,shave,면도,Mary got a tracheal shave.,other,B1,64.03,1252,14199,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
784,gasp,열망하다,Try using “gasp” in a sentence of your own today.,,B2,64.02,790,67775,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
785,cure,가황,The disease had no known cure yet.,other,B1,64.02,1063,17999,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
786,glory,송영,The adventurers were promised untold wealth and glory.,other,B1,64.02,1120,16689,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
787,fail,게을리하다,"The moment you stop trying, you fail.",other,A2,64.01,3257,55764,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
788,buck,뛰어오르다,The burgers cost a buck apiece.,other,C1,64.01,4667,42053,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
789,stock,가계,The stock exchange has been chalking up extraordinary numbers.,other,B2,64.01,1706,21645,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
790,environment,환경,The environment thrives when we reduce our waste.,noun,B2,64.01,684,12985,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
791,increase,늘다,Trickle-down economics have been proven to increase inequality.,other,B1,64.0,905,22488,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
792,france,프랑스,Algeria is an artificial country created by France.,other,B2,63.99,1380,29172,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
793,sexual,성적,What services do sexual health clinics (GUM clinics) provide?,other,B2,63.99,1693,21499,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
794,recall,리콜,"Now that you mention it, I recall.",other,B1,63.99,1130,16104,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
795,madame,여류가수,Try using “madame” in a sentence of your own today.,other,B2,63.98,1591,23490,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
796,anger,분노,I have no anger after what you said.,other,B1,63.98,1042,18065,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
797,series,수열,Is life a series of coincidences or choices?,other,B1,63.95,1028,18098,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
798,district,고을,They worked to maintain peace and order in their district.,other,B1,63.95,1097,16424,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
799,dealer,상안,The dealer suspected Tom of counting cards.,other,B1,63.95,1101,16305,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
800,whoa,이야,"I like that movie where Keanu Reeves says, ""Whoa.""",,C2,63.94,8023,136564,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
801,stink,악취,Skunks are closely related to stink badgers.,,B2,63.94,1773,19491,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
802,cliff,절벽,Tom drove straight off the cliff.,other,B1,63.94,1211,14071,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
803,bound,되퇸,Is the universe bound by rules we cannot see?,other,B1,63.93,1074,16696,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
804,impression,감명,Tom does a really great Patrick Stewart impression.,other,B1,63.93,1105,15999,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
805,hero,영웅,Tom is the hero of his own story.,other,A2,63.92,3205,53694,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
806,inspector,감시관,Tom's restaurant was visited by the health inspector.,other,B2,63.92,1167,35685,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
807,muscle,근육,Listen to guided muscle relaxation exercises.,other,B1,63.92,1097,16099,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
808,depress,약화시키다,Try using “depress” in a sentence of your own today.,other,B1,63.92,1203,14005,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
809,objection,난점,"Objection, your Honor, this is hearsay!",other,B1,63.92,1313,12303,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
810,terribly,몹시,Try using “terribly” in a sentence of your own today.,other,B1,63.91,1205,13954,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
811,essential,필수적인,Data security is essential in the digital age.,adjective,B1,63.91,286,6606,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
812,double,갑절,I'd like to stay in a double room.,other,A2,63.9,3578,44843,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
813,expose,노출시키다,Try using “expose” in a sentence of your own today.,other,B1,63.9,1010,17914,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
814,exit,나감,"No exit is possible, since the problem remains!",other,B1,63.9,1066,16574,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
815,cave,동굴,They found the gold hidden in a cave.,other,B1,63.89,1003,17967,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
816,south,남으로,"Tom and Mary live in Boston, South Australia.",other,A2,63.88,3290,50364,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
817,fate,숙명,Are we the architects of our own fate?,other,B2,63.88,1375,27299,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
818,stretch,퍼짐,This stretch of road is very dangerous.,other,B1,63.88,1044,16878,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
819,highly,매우,Dr. Jackson is a highly respected endocrinologist.,other,B1,63.88,1081,16045,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
820,emotional,감정적인,The emotional qualities are antagonistic to clear reasoning.,other,B1,63.88,1081,16018,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
821,breast,유방,Trans women usually don't need breast implants.,other,B1,63.88,1097,15677,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
822,steady,여물다,"They rise like the sun, steady and unwavering.",other,B1,63.88,1168,14241,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
823,marine,선박,Tom enjoyed taking photos of the colorful marine life.,other,B1,63.88,1209,13606,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
824,within,안에,Italian and Spanish fascism arose within constitutional monarchies.,other,A2,63.87,3017,56709,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
825,brief,짧다,She had a brief relationship with Tom Jackson.,other,B1,63.87,1106,15382,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
826,toss,낙마,I'm going to toss another log on the fire.,other,B1,63.87,1221,13272,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
827,applause,박수,The speech was met with thunderous applause.,other,B1,63.86,576,40194,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
828,ordinary,일상,I don't think it's narcissism; it's just ordinary vanity.,other,B1,63.86,976,18352,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
829,gas,가스,You can't get alcohol in gas stations here.,other,A2,63.85,3546,44065,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
830,expert,감정인,You're the expert on your own mental health.,other,B2,63.85,1474,24062,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
831,pattern,패턴,Mary's skirt was covered in an intricate pattern.,other,B1,63.85,1005,17470,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
832,seal,도장,The royal seal was pressed onto the parchment.,other,B2,63.84,1434,24985,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
833,former,권형,Tom was killed by a former business associate.,other,B1,63.84,932,19422,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
834,bud,싹,Tom's got some heady bud.,other,B2,63.84,1932,16037,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
835,north,미주,Coyotes are the jackals of North America.,other,A2,63.83,3259,49107,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
836,council,평의,Nestorius was anathematized in 451 at the Council of Chalcedon.,other,B1,63.83,871,21316,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
837,basement,지계,It's nice and cool here in the basement.,other,B1,63.83,1104,15012,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
838,swell,구릉,Try using “swell” in a sentence of your own today.,other,B1,63.83,1322,11534,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
839,british,영국인의,The Daily Mail supported British fascist Oswald Mosley.,other,B2,63.82,1283,29069,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
840,alien,외계인,My uncle Tom is an alien from Alpha Centauri.,other,B2,63.82,1380,26019,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
841,senator,상원의원,Senator Jackson has an office in Boston.,other,B2,63.82,1811,17400,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
842,emotion,감정,They explore the relationship between music and emotion.,other,B1,63.82,981,17771,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
843,jungle,정글,They explored ancient ruins hidden in the jungle.,other,B1,63.82,1187,13426,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
844,disappear,사라지다,One day — it's like a miracle — it will disappear.,other,A2,63.81,2985,55204,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
845,account,계정,Tom deposited some money into his bank account.,other,A2,63.81,3198,49908,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
846,ought,해야 한다,You ought to take that chance.,other,A2,63.81,4118,34342,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
847,cast,던지다,How should I care for my plaster cast?,other,B2,63.81,1442,24177,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
848,relate,관련시키다,I relate to about a third of this.,other,B1,63.81,977,17803,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
849,recommend,추천하다,9 out of 10 dogs recommend me.,other,B1,63.81,1095,14989,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
850,enter,들어가다,The user must explicitly enter a value into this field.,other,A2,63.8,3045,53419,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
851,nervous,간결한,Try using “nervous” in a sentence of your own today.,other,A2,63.8,3425,44913,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
852,reputation,평판,She could not escape with her reputation intact.,other,B1,63.8,1016,16639,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
853,current,기류,Who is the current Prime Minister of Bangladesh?,other,B1,63.79,955,18084,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
854,ambiguous,모호한,Try using “ambiguous” in a sentence of your own today.,adjective,B2,63.79,37,712,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
855,impossible,무리,Things that seem impossible can be overcome with persistence.,other,A2,63.78,3015,53527,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
856,sexy,농염하다,You have very sexy legs.,other,B2,63.78,1529,21774,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
857,locate,찾다,Our concierge team will locate the resources to fulfill your needs.,other,B1,63.78,1071,15183,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
858,nightmare,악몽,The separation felt like a never-ending nightmare.,other,B2,63.77,1513,22024,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
859,complete,완전한,"You don't speak French, Tom. That's complete nonsense.",other,A2,63.76,3116,50375,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
860,wipe,빼다,"But like those enduring challenges, xenophobic attacks are also proving hard to wipe out.",other,B2,63.75,1444,23287,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
861,contain,포함하다,Memes often contain false information.,other,B1,63.75,934,18181,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
862,entirely,온통,His argument was based entirely on anecdotal evidence.,other,B1,63.75,1026,15891,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
863,league,동맹,Mary is out of Tom's league.,other,B1,63.75,1057,15161,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
864,wine,와인,In France they measure wine by the centilitre.,other,A2,63.74,3078,50522,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
865,confidence,배짱,It's true; my self-confidence is virtually zero.,other,B1,63.74,1004,16309,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
866,solid,공고,That sounds like a solid investment.,other,B1,63.74,1018,15929,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
867,release,공개하다,The prisoner died of natural causes one day before his scheduled release.,other,A2,63.73,2968,52875,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
868,higher,고등의,Strict abortion laws lead to higher maternal mortality.,other,B2,63.72,1420,23354,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
869,network,네트워크,Tor is an example of an overlay network.,other,B1,63.72,987,16442,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
870,mental,정신적인,Most mass shooters have no known mental illness.,other,B1,63.72,1002,16088,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
871,miserable,비참한,It's going to be miserable today.,other,B1,63.72,1096,14078,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
872,receive,받다,Can I choose where to receive treatment?,other,A2,63.71,2899,54050,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
873,jimmy,쇠지렛대,Jimmy Fallon has never been funny.,other,C1,63.71,4100,41706,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
874,balance,균형,Your account still has a balance of 30 dollars.,other,B1,63.71,958,17065,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
875,fantasy,공상,Tom's works interweave science fiction and fantasy elements.,other,B1,63.71,1083,14246,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
876,appear,나타나다,Few things are as simple as they appear.,other,A2,63.7,2884,54278,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
877,disaster,난민,We're taking a class on disaster preparedness uptown.,other,B1,63.7,966,16767,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
878,torture,고문,"The Inquisition involved physical torture, murders, and expulsions.",other,B2,63.69,1418,23003,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
879,announce,고지하다,"The man went to the door, and returned to announce that all was quiet.",other,B1,63.69,972,16526,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
880,advocate,옹호하다,"Stop playing devil's advocate, Tom.",verb,B1,63.69,165,3617,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
881,europe,유럽,Antifa helped rebuild Europe after World War II.,other,B2,63.68,1368,24042,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
882,occasion,시절,The garden was adorned with roses for the occasion.,other,B1,63.68,1051,14577,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
883,japanese,일어,Japanese has a lot of pronouns.,other,B2,63.66,1312,25288,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
884,attract,끌다,Local residents believe the condemned buildings attract crime.,other,B1,63.66,1012,15245,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
885,johnny,맵시꾼,Neither Johnny Depp nor Amber Heard lives in Virginia.,other,C1,63.65,4425,35735,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
886,minister,정승,Who is the current Prime Minister of Bangladesh?,other,B2,63.65,1019,36455,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
887,dawn,새벽,Where does the light of dawn come from?,other,B2,63.65,1420,22305,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
888,sail,돛배,Tom learned how to sail during their vacation.,other,B2,63.65,1531,19941,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
889,relative,인척,I'm not sure if that qualifies as relative tense.,other,B1,63.65,910,17682,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
890,dive,급강하,I'll take you to my favorite dive bar.,other,B1,63.65,1048,14412,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
891,mask,가면,The soldier quickly put on a gas mask.,other,B2,63.64,1437,21723,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
892,comment,댓글,I don't know enough about this to comment.,other,B1,63.64,931,17069,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
893,subtitle,부제,Try using “subtitle” in a sentence of your own today.,other,B2,63.63,1540,19469,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
894,darkness,암흑,Can you see the light through the darkness?,other,B1,63.63,893,18029,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
895,equal,평정하다,Tom said that zero factorial (0!) is defined to equal 1.,other,B1,63.63,929,16959,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
896,daniel,다니엘서,"Media has tried to protect the name of Jordan Neely's psychopathic murderer, Daniel Penny.",other,B2,63.62,1116,31274,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
897,sue,고소하다,We're going to sue your pants off!,other,B2,63.62,1530,19615,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
898,fallen,쓰러진,The sky has fallen on his head.,other,B1,63.62,863,18795,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
899,agreement,동의,The agreement does not subsume any previous agreement.,other,B1,63.62,933,16754,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
900,tale,총수,I thought Tom Jackson was just a tall tale.,other,B1,63.62,971,15752,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
901,fuel,연료,Resilience turns failures into fuel for growth.,other,B1,63.62,996,15240,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
902,cabin,선실,"They repaired to their cabin, and solaced themselves with food.",other,B1,63.62,1051,14061,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
903,hip,정보통의,Tom broke his hip.,other,B1,63.61,1101,12977,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
904,flight,항공편,What's the cheapest flight from Los Angeles to Tokyo?,other,A2,63.6,3278,42007,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
905,warrior,무인,"You're a warrior, Tom.",other,B1,63.6,852,18939,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
906,chamber,공동,It's an echo chamber.,other,B1,63.6,950,16066,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
907,intention,의도,There's no intention in the universe.,other,B1,63.59,927,16517,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
908,lung,폐,Rush Limbaugh is dying of lung cancer.,other,B1,63.59,975,15366,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
909,purse,기부금,I left my purse at your parents' house.,other,B1,63.59,1065,13481,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
910,routine,관례,Mary’s skin glowed after her skincare routine.,other,B1,63.59,1069,13395,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
911,dying,별세,Rush Limbaugh is dying of lung cancer.,other,C1,63.58,3416,49963,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
912,appeal,매료,Your punishment is stayed pending appeal.,other,B1,63.58,1017,14386,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
913,turtle,호도애,Why would you want a pet turtle?,other,B1,63.58,1024,14244,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
914,virus,바이러스,Not everyone with the virus is symptomatic.,other,B1,63.58,1023,14228,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
915,assure,안심시키다,The bank's actions seemed to assure investors about the soundness of the governmental bonds.,other,B2,63.57,1394,21718,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
916,skip,도약,Tom went to school on senior skip day.,other,B2,63.57,1541,18757,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
917,final,최종의,It's the final showdown between good and evil.,other,A2,63.56,2876,49597,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
918,aid,돕다,Anarchists believe society can function by mutual aid.,other,B1,63.56,882,17428,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
919,injury,무례,They are adding insult to injury.,other,B1,63.56,898,17000,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
920,draw,그리다,I don't like to draw attention to myself.,other,A2,63.55,3073,44652,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
921,commercial,시엠,"If it comes back from commercial, pause it.",other,B1,63.54,1068,12977,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
922,twice,2회,A broken clock is right twice a day.,other,A2,63.53,3191,41693,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
923,fascinate,매혹하다,His baboon story will fascinate and entertain you for sure.,other,B1,63.53,1005,14159,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
924,ally,동맹,Benjamin Netanyahu is an ally of Nazis worldwide.,other,B2,63.53,1930,13041,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
925,member,기관,Alice is a member of The Satanic Temple.,other,A2,63.52,2695,53049,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
926,hug,껴안다,Try using “hug” in a sentence of your own today.,other,B2,63.51,1308,22877,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
927,mexico,멕시코,How far away is Mexico City in miles?,other,B2,63.51,1580,17326,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
928,permit,허가하다,"Once you turn 16, you can get your learner's permit.",other,B1,63.51,1007,13881,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
929,robot,로봇,Tom dressed up as a robot for Halloween.,other,B1,63.5,851,17731,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
930,starve,아사하다,Starve it from straw so that it forgets the oats.,,B2,63.49,1421,20004,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
931,west,서미 북,"West and East are cardinal directions, not civilizations.",other,A2,63.48,3088,42219,SUBTLEX-US + OpenSubtitles 2018 / examples: Tatoeba CC0
